Fecha,Empresa,Tipo,Número Desde,Neto Gravado,Neto No Gravado,Op. Exentas,IVA,Neto,Imp. Total,Mes,Razon Social
01/08/2025,Santana Textil Chaco Sa,Facturas A,26613,24355,0,0,5115,24355,29470,2025-08,Deposito Avellaneda Sur
01/08/2025,Poka S A,Facturas A,26616,60000,0,0,12600,60000,72600,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26608,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
01/08/2025,Grass S. R. L.,Facturas A,26614,1672408,0,0,351206,1672408,2023614,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26609,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
01/08/2025,Curtiembre Infante S A,Facturas A,26610,3189618,0,0,669820,3189618,3859438,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26604,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
01/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26615,497250,0,0,104422,497250,601672,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26605,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
01/08/2025,Santana Textil Chaco Sa,Facturas A,26611,2458,0,0,516,2458,2974,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26606,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
01/08/2025,Hilado S.A.,Facturas A,26619,2596203,0,0,545203,2596203,3141406,2025-08,Deposito Avellaneda Sur
01/08/2025,Liftvan International Company S A C,Facturas A,26618,885950,0,0,186050,885950,1072000,2025-08,Deposito Avellaneda Sur
01/08/2025,Liftvan International Company S A C,Facturas A,26617,66116,0,0,13884,66116,80000,2025-08,Deposito Avellaneda Sur
01/08/2025,Importadora Mediterranea Sa,Facturas A,26620,2648890,0,0,556267,2648890,3205157,2025-08,Deposito Avellaneda Sur
04/08/2025,Importadora Mediterranea Sa,Facturas A,26633,2704857,0,0,568020,2704857,3272877,2025-08,Deposito Avellaneda Sur
04/08/2025,Adp Trading S.R.L.,Facturas A,26625,991730,0,0,208263,991730,1199993,2025-08,Deposito Avellaneda Sur
04/08/2025,Adp Trading S.R.L.,Facturas A,26626,495865,0,0,104132,495865,599997,2025-08,Deposito Avellaneda Sur
04/08/2025,Tandem Global Logistics S.A.,Facturas A,26631,2732500,0,0,573825,2732500,3306325,2025-08,Deposito Avellaneda Sur
04/08/2025,Minera Santa Rita Srl,Facturas A,26634,1715414,0,0,360237,1715414,2075651,2025-08,Deposito Avellaneda Sur
04/08/2025,Biosophy S. A. S.,Facturas A,26627,1304875,0,0,274024,1304875,1578899,2025-08,Deposito Avellaneda Sur
04/08/2025,Smart Trading S.A.S,Facturas A,26628,2164110,0,0,454463,2164110,2618573,2025-08,Deposito Avellaneda Sur
04/08/2025,Talamo Leonardo,Facturas A,26621,4419825,0,0,928163,4419825,5347988,2025-08,Deposito Avellaneda Sur
04/08/2025,Capilatis Sa,Facturas A,26629,4975641,0,0,1044885,4975641,6020526,2025-08,Deposito Avellaneda Sur
04/08/2025,Hdv Leather Srl,Facturas A,26632,464500,0,0,97545,464500,562045,2025-08,Deposito Avellaneda Sur
04/08/2025,Sanyo Color Sociedad Anonima,Facturas A,26622,1212649,0,0,254656,1212649,1467306,2025-08,Deposito Avellaneda Sur
04/08/2025,Awam Tex S.R.L.,Facturas A,26623,1079713,0,0,226740,1079713,1306453,2025-08,Deposito Avellaneda Sur
04/08/2025,Edificios Comahue Sociedad De Responsabilidad Limitada.,Facturas A,26624,2379125,0,0,499616,2379125,2878741,2025-08,Deposito Avellaneda Sur
04/08/2025,Rueda Oeste S A,Facturas A,26630,1090500,0,0,229005,1090500,1319505,2025-08,Deposito Avellaneda Sur
04/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26635,999900,0,0,209979,999900,1209879,2025-08,Deposito Avellaneda Sur
05/08/2025,Global Rover Logistic Srl,Facturas A,26636,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
05/08/2025,Global Rover Logistic Srl,Facturas A,26637,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
05/08/2025,Funcke Maritime Sa,Facturas A,26638,670022,0,0,140705,670022,810727,2025-08,Deposito Avellaneda Sur
05/08/2025,Grupo Simpa S A,Facturas A,26639,1066670,0,0,224001,1066670,1290671,2025-08,Deposito Avellaneda Sur
05/08/2025,Edelweiss Spedition Srl,Facturas A,26640,2571050,0,0,539921,2571050,3110971,2025-08,Deposito Avellaneda Sur
05/08/2025,Dsi Underground Argentina Sa,Facturas A,26641,335000,0,0,70350,335000,405350,2025-08,Deposito Avellaneda Sur
05/08/2025,Liftvan International Company S A C,Facturas A,26642,1756165,0,0,368795,1756165,2124960,2025-08,Deposito Avellaneda Sur
05/08/2025,Hilado S.A.,Facturas A,26647,3195604,0,0,671077,3195604,3866681,2025-08,Deposito Avellaneda Sur
05/08/2025,Chaguar  Sociedad Anonima,Facturas A,26646,3564800,0,0,748608,3564800,4313408,2025-08,Deposito Avellaneda Sur
05/08/2025,Chemotecnica Sociedad Anonima,Facturas A,26643,4666048,0,0,979870,4666048,5645917,2025-08,Deposito Avellaneda Sur
05/08/2025,Bdfm Sa,Facturas A,26644,1108420,0,0,232768,1108420,1341188,2025-08,Deposito Avellaneda Sur
05/08/2025,Bdfm Sa,Facturas A,26645,1720825,0,0,361373,1720825,2082198,2025-08,Deposito Avellaneda Sur
06/08/2025,Maquinarias Independencia Sa,Facturas A,26660,248000,0,0,52080,248000,300080,2025-08,Deposito Avellaneda Sur
06/08/2025,Maquinarias Independencia Sa,Facturas A,26661,248000,0,0,52080,248000,300080,2025-08,Deposito Avellaneda Sur
06/08/2025,Juguetech S A,Facturas A,26650,2828786,0,0,594045,2828786,3422831,2025-08,Deposito Avellaneda Sur
06/08/2025,Grupo Leal-Tex S.R.L.,Facturas A,26655,1117703,0,0,234718,1117703,1352421,2025-08,Deposito Avellaneda Sur
06/08/2025,Refractarios Argentinos Saicm,Facturas A,26667,1526065,0,0,320474,1526065,1846539,2025-08,Deposito Avellaneda Sur
06/08/2025,Maransi S.A.,Facturas A,26662,578256,0,0,121434,578256,699690,2025-08,Deposito Avellaneda Sur
06/08/2025,Global Rover Logistic Srl,Facturas A,26652,288600,0,0,60606,288600,349206,2025-08,Deposito Avellaneda Sur
06/08/2025,Refractarios Argentinos Saicm,Facturas A,26668,155040,0,0,32558,155040,187598,2025-08,Deposito Avellaneda Sur
06/08/2025,Pampa Logistica Internacional S.A.,Facturas A,26651,1904565,0,0,399959,1904565,2304524,2025-08,Deposito Avellaneda Sur
06/08/2025,Liftvan International Company S A C,Facturas A,26663,893884,0,0,187716,893884,1081600,2025-08,Deposito Avellaneda Sur
06/08/2025,Dpmg S.A.,Facturas A,26656,559762,0,0,117550,559762,677313,2025-08,Deposito Avellaneda Sur
06/08/2025,Mediterranean Shipping Company S A,Facturas A,26653,252000,0,0,52920,252000,304920,2025-08,Deposito Avellaneda Sur
06/08/2025,Liftvan International Company S A C,Facturas A,26648,2240749,0,0,470557,2240749,2711307,2025-08,Deposito Avellaneda Sur
06/08/2025,Liftvan International Company S A C,Facturas A,26664,1117355,0,0,234645,1117355,1352000,2025-08,Deposito Avellaneda Sur
06/08/2025,Dpmg S.A.,Facturas A,26657,559762,0,0,117550,559762,677313,2025-08,Deposito Avellaneda Sur
06/08/2025,Bulldog Solutions S.A,Facturas A,26658,7834900,0,0,1645329,7834900,9480229,2025-08,Deposito Avellaneda Sur
06/08/2025,Bisora Group S. A.,Facturas A,26654,1077338,0,0,226241,1077338,1303579,2025-08,Deposito Avellaneda Sur
06/08/2025,Refractarios Argentinos Saicm,Facturas A,26665,1526065,0,0,320474,1526065,1846539,2025-08,Deposito Avellaneda Sur
06/08/2025,Maquinarias Independencia Sa,Facturas A,26659,248000,0,0,52080,248000,300080,2025-08,Deposito Avellaneda Sur
06/08/2025,Telamania S.R.L.,Facturas A,26649,1278561,0,0,268498,1278561,1547059,2025-08,Deposito Avellaneda Sur
06/08/2025,Refractarios Argentinos Saicm,Facturas A,26666,155040,0,0,32558,155040,187598,2025-08,Deposito Avellaneda Sur
06/08/2025,Net Quality Srl,Notas De Debito A,201,0,127823,0,0,127823,127823,2025-08,Deposito Avellaneda Sur
06/08/2025,Asociacion De Los Testigos De Jehova I. E. R.,Facturas B,17,1693480,0,0,355631,1693480,2049110,2025-08,Deposito Avellaneda Sur
07/08/2025,Lawter Argentina S.A.,Facturas A,26677,641269,0,0,134666,641269,775935,2025-08,Deposito Avellaneda Sur
07/08/2025,Liftvan International Company S A C,Facturas A,26670,1884511,0,0,395747,1884511,2280258,2025-08,Deposito Avellaneda Sur
07/08/2025,Global Rover Logistic Srl,Facturas A,26678,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
07/08/2025,Raisvic Srl,Facturas A,26669,1720100,0,0,361221,1720100,2081321,2025-08,Deposito Avellaneda Sur
07/08/2025,Global Rover Logistic Srl,Facturas A,26679,2162400,0,0,454104,2162400,2616504,2025-08,Deposito Avellaneda Sur
07/08/2025,Aj Comercio Exterior Srl,Facturas A,26671,400000,0,0,84000,400000,484000,2025-08,Deposito Avellaneda Sur
07/08/2025,Southcross Logistics  S.A,Facturas A,26684,1206296,0,0,253322,1206296,1459618,2025-08,Deposito Avellaneda Sur
07/08/2025,Global Rover Logistic Srl,Facturas A,26672,288600,0,0,60606,288600,349206,2025-08,Deposito Avellaneda Sur
07/08/2025,Litoral Citrus S A,Facturas A,26680,1365000,0,0,286650,1365000,1651650,2025-08,Deposito Avellaneda Sur
07/08/2025,Alimentaria S.A.,Facturas A,26673,1956400,0,0,410844,1956400,2367244,2025-08,Deposito Avellaneda Sur
07/08/2025,Mediterranean Shipping Company S A,Facturas A,26681,252000,0,0,52920,252000,304920,2025-08,Deposito Avellaneda Sur
07/08/2025,Global Rover Logistic Srl,Facturas A,26674,865800,0,0,181818,865800,1047618,2025-08,Deposito Avellaneda Sur
07/08/2025,Mediterranean Shipping Company S A,Facturas A,26682,504000,0,0,105840,504000,609840,2025-08,Deposito Avellaneda Sur
07/08/2025,Mediterranean Shipping Company S A,Facturas A,26683,756000,0,0,158760,756000,914760,2025-08,Deposito Avellaneda Sur
07/08/2025,Ag De Argentina S A,Facturas A,26675,907125,0,0,190496,907125,1097621,2025-08,Deposito Avellaneda Sur
07/08/2025,Global Rover Logistic Srl,Facturas A,26676,577200,0,0,121212,577200,698412,2025-08,Deposito Avellaneda Sur
07/08/2025,Soporte Latinoamerica S.A.S,Facturas A,26686,200004,0,0,42001,200004,242005,2025-08,Deposito Avellaneda Sur
07/08/2025,Suri Motor Sport S.R.L.,Facturas A,26687,747964,0,0,157072,747964,905036,2025-08,Deposito Avellaneda Sur
07/08/2025,Dry Sea Srl,Facturas A,26685,3338000,0,0,700980,3338000,4038980,2025-08,Deposito Avellaneda Sur
07/08/2025,Lawter Argentina S.A.,Notas De Credito A,2064,-1943655,0,0,-408168,-1943655,-2351823,2025-08,Deposito Avellaneda Sur
07/08/2025,Chemotecnica Sociedad Anonima,Notas De Credito A,2065,-360470,0,0,-75699,-360470,-436169,2025-08,Deposito Avellaneda Sur
07/08/2025,Asociacion De Los Testigos De Jehova I. E. R.,Facturas B,18,109556,481950,0,23007,591506,614513,2025-08,Deposito Avellaneda Sur
08/08/2025,Aspee Monee Srl,Facturas A,26697,1134750,0,0,238298,1134750,1373048,2025-08,Deposito Avellaneda Sur
08/08/2025,Tandem Global Logistics S.A.,Facturas A,26705,1928800,0,0,405048,1928800,2333848,2025-08,Deposito Avellaneda Sur
08/08/2025,Overprint S.R.L,Facturas A,26710,1109926,0,0,233084,1109926,1343010,2025-08,Deposito Avellaneda Sur
08/08/2025,Poka S A,Facturas A,26689,30000,0,0,6300,30000,36300,2025-08,Deposito Avellaneda Sur
08/08/2025,Aspee Monee Srl,Facturas A,26698,1134750,0,0,238298,1134750,1373048,2025-08,Deposito Avellaneda Sur
08/08/2025,Telamania S.R.L.,Facturas A,26693,13291445,0,0,2791204,13291445,16082649,2025-08,Deposito Avellaneda Sur
08/08/2025,Aspee Monee Srl,Facturas A,26699,1134750,0,0,238298,1134750,1373048,2025-08,Deposito Avellaneda Sur
08/08/2025,Grouport Srl,Facturas A,26707,908590,0,0,190804,908590,1099394,2025-08,Deposito Avellaneda Sur
08/08/2025,Tipoiti S A T I C,Facturas A,26711,720755,0,0,151359,720755,872114,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26712,288600,0,0,60606,288600,349206,2025-08,Deposito Avellaneda Sur
08/08/2025,Minera Santa Rita Srl,Facturas A,26694,2261881,0,0,474995,2261881,2736876,2025-08,Deposito Avellaneda Sur
08/08/2025,Industrias Saladillo Sa,Facturas A,26700,1989801,0,0,417858,1989801,2407659,2025-08,Deposito Avellaneda Sur
08/08/2025,Grouport Srl,Facturas A,26708,410369,0,0,86178,410369,496547,2025-08,Deposito Avellaneda Sur
08/08/2025,Juguetech S A,Facturas A,26706,1167217,0,0,245116,1167217,1412333,2025-08,Deposito Avellaneda Sur
08/08/2025,Mediterranean Shipping Company S A,Facturas A,26713,252000,0,0,52920,252000,304920,2025-08,Deposito Avellaneda Sur
08/08/2025,Bulldog Solutions S.A,Facturas A,26701,7918400,0,0,1662864,7918400,9581264,2025-08,Deposito Avellaneda Sur
08/08/2025,Liftvan International Company S A C,Facturas A,26690,2446149,0,0,513691,2446149,2959840,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26714,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
08/08/2025,Industrias Saladillo Sa,Facturas A,26702,1566840,0,0,329036,1566840,1895876,2025-08,Deposito Avellaneda Sur
08/08/2025,Liftvan International Company S A C,Facturas A,26691,2160128,0,0,453627,2160128,2613754,2025-08,Deposito Avellaneda Sur
08/08/2025,Industrias Saladillo Sa,Facturas A,26703,1989800,0,0,417858,1989800,2407658,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26715,1621800,0,0,340578,1621800,1962378,2025-08,Deposito Avellaneda Sur
08/08/2025,Aspee Monee Srl,Facturas A,26695,1134750,0,0,238298,1134750,1373048,2025-08,Deposito Avellaneda Sur
08/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26688,498150,0,0,104612,498150,602762,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26716,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
08/08/2025,Mercovan Argentina S.A.,Facturas A,26692,2333836,0,0,490106,2333836,2823942,2025-08,Deposito Avellaneda Sur
08/08/2025,Tandem Global Logistics S.A.,Facturas A,26704,1662120,0,0,349045,1662120,2011165,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26717,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
08/08/2025,Aspee Monee Srl,Facturas A,26696,1134750,0,0,238298,1134750,1373048,2025-08,Deposito Avellaneda Sur
08/08/2025,Lawter Argentina S.A.,Facturas A,26709,641269,0,0,134666,641269,775935,2025-08,Deposito Avellaneda Sur
08/08/2025,Global Rover Logistic Srl,Facturas A,26718,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
11/08/2025,Henn Y Cia Srl,Facturas A,26734,5337250,0,0,1120822,5337250,6458072,2025-08,Deposito Avellaneda Sur
11/08/2025,Global Rover Logistic Srl,Facturas A,26725,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
11/08/2025,Telamania S.R.L.,Facturas A,26731,1181331,0,0,248080,1181331,1429411,2025-08,Deposito Avellaneda Sur
11/08/2025,Henn Y Cia Srl,Facturas A,26735,1410600,0,0,296226,1410600,1706826,2025-08,Deposito Avellaneda Sur
11/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26727,1630360,0,0,342376,1630360,1972736,2025-08,Deposito Avellaneda Sur
11/08/2025,Telamania S.R.L.,Facturas A,26732,11466703,0,0,2408008,11466703,13874710,2025-08,Deposito Avellaneda Sur
11/08/2025,Overprint S.R.L,Facturas A,26720,1989136,0,0,417719,1989136,2406855,2025-08,Deposito Avellaneda Sur
11/08/2025,Rohlig Argentina S R L,Facturas A,26736,923820,0,0,194002,923820,1117822,2025-08,Deposito Avellaneda Sur
11/08/2025,Uld Global Trade Srl,Facturas A,26726,5709795,0,0,1199057,5709795,6908852,2025-08,Deposito Avellaneda Sur
11/08/2025,Liftvan International Company S A C,Facturas A,26728,2547941,0,0,535068,2547941,3083009,2025-08,Deposito Avellaneda Sur
11/08/2025,Pantografos Cam Cnc,Facturas A,26719,931520,0,0,195619,931520,1127139,2025-08,Deposito Avellaneda Sur
11/08/2025,Aniceto Gomez S A,Facturas A,26721,1505545,0,0,316164,1505545,1821709,2025-08,Deposito Avellaneda Sur
11/08/2025,Alimentaria S.A.,Facturas A,26737,3912800,0,0,821688,3912800,4734488,2025-08,Deposito Avellaneda Sur
11/08/2025,Liftvan International Company S A C,Facturas A,26729,2798015,0,0,587583,2798015,3385599,2025-08,Deposito Avellaneda Sur
11/08/2025,Global Rover Logistic Srl,Facturas A,26722,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
11/08/2025,Henn Y Cia Srl,Facturas A,26733,2991600,0,0,628236,2991600,3619836,2025-08,Deposito Avellaneda Sur
11/08/2025,Global Rover Logistic Srl,Facturas A,26723,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
11/08/2025,Mercovan Argentina S.A.,Facturas A,26730,2042288,0,0,428881,2042288,2471169,2025-08,Deposito Avellaneda Sur
11/08/2025,Global Rover Logistic Srl,Facturas A,26724,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
11/08/2025,Malu Ma Tex S.A.,Facturas A,26741,18078900,0,0,3796569,18078900,21875469,2025-08,Deposito Avellaneda Sur
11/08/2025,Hilado S.A.,Facturas A,26738,1144000,0,0,240240,1144000,1384240,2025-08,Deposito Avellaneda Sur
11/08/2025,Ecomet S.R.L.,Facturas A,26739,13379250,0,0,2809642,13379250,16188892,2025-08,Deposito Avellaneda Sur
11/08/2025,Tandem Global Logistics S.A.,Facturas A,26740,712000,0,0,149520,712000,861520,2025-08,Deposito Avellaneda Sur
11/08/2025,Industrias Saladillo Sa,Notas De Credito A,2066,-1689800,0,0,-354858,-1689800,-2044658,2025-08,Deposito Avellaneda Sur
11/08/2025,Caddell Construction Co. (De) Llc,Facturas De Exportacion,66,0,15912000,0,0,15912000,15912000,2025-08,Deposito Avellaneda Sur
11/08/2025,Grupo Simpa S A,Factura De Crédito Electrónica Mipymes (Fce) A,188,3290220,0,0,690946,3290220,3981166,2025-08,Deposito Avellaneda Sur
12/08/2025,Liftvan International Company S A C,Facturas A,26756,1094727,0,0,229893,1094727,1324620,2025-08,Deposito Avellaneda Sur
12/08/2025,Mercovan Argentina S.A.,Facturas A,26747,2212891,0,0,464707,2212891,2677599,2025-08,Deposito Avellaneda Sur
12/08/2025,Henn Y Cia Srl,Facturas A,26742,747900,0,0,157059,747900,904959,2025-08,Deposito Avellaneda Sur
12/08/2025,Southcross Logistics  S.A,Facturas A,26751,642830,0,0,134994,642830,777824,2025-08,Deposito Avellaneda Sur
12/08/2025,Telamania S.R.L.,Facturas A,26743,1213141,0,0,254760,1213141,1467901,2025-08,Deposito Avellaneda Sur
12/08/2025,Mercovan Argentina S.A.,Facturas A,26748,1660803,0,0,348769,1660803,2009572,2025-08,Deposito Avellaneda Sur
12/08/2025,Global Rover Logistic Srl,Facturas A,26752,540600,0,0,113526,540600,654126,2025-08,Deposito Avellaneda Sur
12/08/2025,Liftvan International Company S A C,Facturas A,26744,2053277,0,0,431188,2053277,2484465,2025-08,Deposito Avellaneda Sur
12/08/2025,Global Rover Logistic Srl,Facturas A,26753,1081200,0,0,227052,1081200,1308252,2025-08,Deposito Avellaneda Sur
12/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26749,107665,0,0,22610,107665,130275,2025-08,Deposito Avellaneda Sur
12/08/2025,Alimentaria S.A.,Facturas A,26754,1941800,0,0,407778,1941800,2349578,2025-08,Deposito Avellaneda Sur
12/08/2025,Liftvan International Company S A C,Facturas A,26745,887956,0,0,186471,887956,1074427,2025-08,Deposito Avellaneda Sur
12/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26750,772422,0,0,162209,772422,934631,2025-08,Deposito Avellaneda Sur
12/08/2025,Liftvan International Company S A C,Facturas A,26757,2737603,0,0,574897,2737603,3312500,2025-08,Deposito Avellaneda Sur
12/08/2025,Bisora Group S. A.,Facturas A,26755,922670,0,0,193761,922670,1116431,2025-08,Deposito Avellaneda Sur
12/08/2025,Mercovan Argentina S.A.,Facturas A,26746,2353806,0,0,494299,2353806,2848105,2025-08,Deposito Avellaneda Sur
12/08/2025,Alimentaria S.A.,Facturas A,26758,376930,0,0,79155,376930,456085,2025-08,Deposito Avellaneda Sur
13/08/2025,Global Rover Logistic Srl,Facturas A,26762,288600,0,0,60606,288600,349206,2025-08,Deposito Avellaneda Sur
13/08/2025,Mercovan Argentina S.A.,Facturas A,26773,2786196,0,0,585101,2786196,3371297,2025-08,Deposito Avellaneda Sur
13/08/2025,Mediterranean Shipping Company S A,Facturas A,26763,252000,0,0,52920,252000,304920,2025-08,Deposito Avellaneda Sur
13/08/2025,Grupo Simpa S A,Facturas A,26767,2975060,0,0,624763,2975060,3599823,2025-08,Deposito Avellaneda Sur
13/08/2025,Tandem Global Logistics S.A.,Facturas A,26777,2665200,0,0,559692,2665200,3224892,2025-08,Deposito Avellaneda Sur
13/08/2025,Dpmg S.A.,Facturas A,26764,1119525,0,0,235100,1119525,1354625,2025-08,Deposito Avellaneda Sur
13/08/2025,Telamania S.R.L.,Facturas A,26768,1244951,0,0,261440,1244951,1506391,2025-08,Deposito Avellaneda Sur
13/08/2025,Tavasci Mena Mariana Andrea,Facturas A,26771,795303,0,0,167014,795303,962317,2025-08,Deposito Avellaneda Sur
13/08/2025,Telamania S.R.L.,Facturas A,26769,1387073,0,0,291285,1387073,1678358,2025-08,Deposito Avellaneda Sur
13/08/2025,Edelweiss Spedition Srl,Facturas A,26772,2424820,0,0,509212,2424820,2934033,2025-08,Deposito Avellaneda Sur
13/08/2025,Borax Argentina S A S. A.,Facturas A,26765,565024,0,0,118655,565024,683679,2025-08,Deposito Avellaneda Sur
13/08/2025,Global Rover Logistic Srl,Facturas A,26760,288600,0,0,60606,288600,349206,2025-08,Deposito Avellaneda Sur
13/08/2025,Dsi Underground Argentina Sa,Facturas A,26770,335000,0,0,70350,335000,405350,2025-08,Deposito Avellaneda Sur
13/08/2025,Borax Argentina S A S. A.,Facturas A,26766,2825120,0,0,593275,2825120,3418395,2025-08,Deposito Avellaneda Sur
13/08/2025,Mediterranean Shipping Company S A,Facturas A,26761,252000,0,0,52920,252000,304920,2025-08,Deposito Avellaneda Sur
13/08/2025,Henn Y Cia Srl,Facturas A,26775,747900,0,0,157059,747900,904959,2025-08,Deposito Avellaneda Sur
13/08/2025,Linkage Intertrade Srl,Facturas A,26759,647829,0,0,136044,647829,783873,2025-08,Deposito Avellaneda Sur
13/08/2025,Eagle Service Group Srl,Facturas A,26774,4543170,0,0,954066,4543170,5497236,2025-08,Deposito Avellaneda Sur
13/08/2025,Hdv Leather Srl,Facturas A,26776,196000,0,0,41160,196000,237160,2025-08,Deposito Avellaneda Sur
13/08/2025,Malu Ma Tex S.A.,Facturas A,26780,17593150,0,0,3694562,17593150,21287712,2025-08,Deposito Avellaneda Sur
13/08/2025,Novelty Trend S.R.L.,Facturas A,26779,109556,2293878,0,23007,2403434,2426440,2025-08,Deposito Avellaneda Sur
13/08/2025,Alsina Motos Srl,Facturas A,26778,109556,1821981,0,23007,1931537,1954544,2025-08,Deposito Avellaneda Sur
14/08/2025,Borax Argentina S A S. A.,Facturas A,26801,565024,0,0,118655,565024,683679,2025-08,Deposito Avellaneda Sur
14/08/2025,Casa Rami S.R.L.,Facturas A,26783,1510660,0,0,317239,1510660,1827899,2025-08,Deposito Avellaneda Sur
14/08/2025,Grouport Srl,Facturas A,26788,669294,0,0,140552,669294,809846,2025-08,Deposito Avellaneda Sur
